หายใจ	หายใจเข้าออก
การเตะฟรีคิก	การเตะลูกฟรีคิก	การเตะลูกโทษ	ฟรีคิก	ลูกโทษ
ตามขวาง	ในแนวทแยง
การจุมพิต	การจูบ
น่าจะ	อย่างเป็นไปได้
กลับตาลปัตร	พลิกสถานการณ์
อย่างเหมาะสม	อย่างเหมาะเจาะ
เล่นแร่แปรธาตุ	แปรธาตุ
อย่างไม่เป็นธรรมชาติ	อย่างไม่เป็นธรรมชาิติ	โดยไม่เป็นธรรมชาติ
การชันสูตร	การชันสูตรพลิกศพ
การตรวจ	การตรวจจับ
ทำให้เป็นรูปร่าง	ฟอร์ม
การตรวจร่างกาย	การตรวจสุขภาพ
มวน	ม้วน
ทำให้กระจ่าง	ทำให้ตกผลึก
ทำเป็นเกลียว	บิดเป็นเกลียว
ประเดี๋ยว	สักครู่
ฟอร์ม	เป็นรูป
ทำให้เปลี่ยนสภาพ	เปลี่ยนสภาพ
ทุกเวลา	ในเวลาใดก็ตาม
ซึ่งไม่มีแขน	ซึ่งไร้แขน	ไม่มีแขน
ตกหลุมรัก	หลงรัก
การคลายเชือก	การแก้เชือก
เหนือสิ่งอื่นใด	โดยเฉพาะอย่างยิ่ง
ตามรอยเท้า	ทำตาม	เอาอย่าง
การตรวจค้น	การตรวจหา
กำหนดสัดส่วน	ทำให้ได้สัดส่วน
ลดน้อยลง	ลดลง
เป็นใบ้	ใบ้
หด	หดหาย
ลดจำนวน	ลดจำนวนลง	หดหาย
หายไป	อันตรธาน
ทำให้เพิ่ม	เพิ่ม
การตรวจวินิจฉัยก่อนคลอด	การวินิจฉัยก่อนคลอด
พยานเอกสาร	เอกสารหลักฐาน
อย่างที่อ้าง	โดยทึกทัก
อย่างผิดกฎหมาย	อย่างไร้กฎหมาย
ดิ่งลงอย่างหนัก	ดิ่งเหว	หล่นวูบ
การปฏิเสธ	การหักล้าง
ขึ้นสู่	ขึ้นอันดับ
โดยทั่วไป	โดยปกติ	โดยส่วนใหญ่
พุ่งขึ้น	พุ่งพรวด
อนึ่ง	อีกประการหนึ่ง
ยอบแยบ	หมดแรง
ไม่ว่าจะขึ้นเขาลงห้วย	ไม่ว่าจะเกิดอะไรขึ้น	ไม่ว่าอะไรจะเกิดขึ้น
เพิ่มขึ้นจนไม่อาจควบคุม	เพิ่มขึ้นโดยไม่อาจควบคุม
กว้างขึ้น	ขยาย	โตขึ้น	ใหญ่ขึ้น
ทั้งหมด	เป็นคนแรกและคนสุดท้าย
รวบรวม	สะสม
ทำให้ต่างกัน	ทำให้ไม่เหมือนกัน
ผลักเสียง	มีเสียงต่างกัน
ส่วนใหญ่	อย่างมากกว่า
เปลี่ยน	แลกเปลี่ยน
การคัดตัว	การคัดตัวนักแสดง	การคัดเลือกนักแสดง	แคสติ้ง
การเลือกใช้สี	การใช้สี
การสุ่มตัวอย่าง	การเลือกตัวอย่าง	การแซมปลิง
การสุ่มกลุ่มตัวอย่าง	การสุ่มตัวอย่าง
อย่างตำหนิติเตียน	อย่างติเตียน
การกลับลำ	การเปลี่ยนนโยบาย
เมือถึงเวลา	เมื่อถึงเวลา
การเดิน	การเดินหมาก
การจอด	การจอดรถ
อย่างบึ้งตึง	อย่างบ้าคลั่ง
การย้าย	การย้ายที่อยู่
ขึ้นกล้อง	ซึ่งถ่ายรูปขึ้น
การเปลี่ยนเกียร์ต่ำ	การเปลี่ยนเป็นเกียร์ต่ำ
ที่ขาดเสน่ห์	ที่ไม่มีเสน่ห์
เปลี่ยนชุด	เปลี่ยนเสื้อผ้า
เปลียนแปลงขนาด	เปลี่ยนขนาด
ดัดแปลง	แปลง
ตรงข้าม	ในทางตรงกันข้าม
ใส่ครีมเทียม	ใส่คอฟฟี่เมต
มรรค	วิถีทาง	วิธี
ปลดจากตำแหน่ง	เอาออก
อย่างกล้าหาญ	อย่างห้าวหาญ
ตั้งครรภ์	อุ้มท้อง
ด้วยความอดกลั้น	อย่างอดทน
